primitive,sigma,c6,c4,max_delta_c6,max_delta_c4,pass_c6,pass_c4,median_base,median_dev_best,median_dev_worst,median_dev_random,median_dev_edge,over_best_c6_pct,over_worst_c6_pct,over_random_c6_pct,over_edge_c6_pct,over_best_c4_pct,over_worst_c4_pct,over_random_c4_pct,over_edge_c4_pct
BYTES,2.9652,6,4,18,12,PASS,PASS,478,0,-1,0,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHA256,2.9652,6,4,18,12,PASS,PASS,51222,0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HMAC,1.4826,6,4,9,6,PASS,PASS,49743,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00
HKDF,1.4826,6,4,9,6,PASS,PASS,109678,0,2,4,2,0.00,0.00,10.00,0.00,0.00,20.00,30.00,5.00
PBKDF2,2.9652,6,4,18,12,PASS,PASS,804978,0,1,-1,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-E,2.9652,6,4,18,12,PASS,PASS,205007,0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-DV,2.9652,6,4,18,12,PASS,PASS,283142,0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-E,2.9652,6,4,18,12,PASS,PASS,123342,0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-D,2.9652,6,4,18,12,PASS,PASS,88781,0,0,1,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-E,5.9304,6,4,36,24,PASS,PASS,233644,0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-D,2.9652,6,4,18,12,PASS,PASS,233734,0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
X25519,4.4478,6,4,27,18,PASS,PASS,2162744,0,-3,-3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
