primitive,sigma,c6,c4,max_delta_c6,max_delta_c4,pass_c6,pass_c4,median_base,median_dev_best,median_dev_worst,median_dev_random,median_dev_edge,over_best_c6_pct,over_worst_c6_pct,over_random_c6_pct,over_edge_c6_pct,over_best_c4_pct,over_worst_c4_pct,over_random_c4_pct,over_edge_c4_pct
BYTES,16.3086,6,4,98,65,PASS,PASS,237,0,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHA256,2.9652,6,4,18,12,PASS,PASS,25215,0,0,-1,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HMAC,1.4826,6,4,9,6,PASS,PASS,12440,0,-1,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HKDF,1.4826,6,4,9,6,PASS,PASS,27435,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PBKDF2,1.4826,6,4,9,6,PASS,PASS,25374,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-E,1.4826,6,4,9,6,PASS,PASS,51219,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-DV,1.4826,6,4,9,6,PASS,PASS,70707,0,-1,0,-1,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00
AESCBC-E,1.4826,6,4,9,6,PASS,PASS,30805,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-D,1.4826,6,4,9,6,PASS,PASS,22149,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-E,1.4826,6,4,9,6,PASS,PASS,58381,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-D,1.4826,6,4,9,6,PASS,PASS,58401,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
X25519,1.4826,6,4,9,6,PASS,PASS,270345,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
