primitive,sigma,c6,c4,max_delta_c6,max_delta_c4,pass_c6,pass_c4,median_base,median_dev_best,median_dev_worst,median_dev_random,median_dev_edge,over_best_c6_pct,over_worst_c6_pct,over_random_c6_pct,over_edge_c6_pct,over_best_c4_pct,over_worst_c4_pct,over_random_c4_pct,over_edge_c4_pct
BYTES,1.4826,6,4,9,6,PASS,PASS,239,0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHA256,2.9652,6,4,18,12,PASS,PASS,25207,0,1,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HMAC,2.9652,6,4,18,12,PASS,PASS,12476,0,-1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HKDF,1.4826,6,4,9,6,PASS,PASS,27543,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
PBKDF2,0.0000,6,4,6,4,PASS,PASS,25793,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-E,1.4826,6,4,9,6,PASS,PASS,41148,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-DV,1.4826,6,4,9,6,PASS,PASS,59072,0,0,0,1,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
AESCBC-E,1.4826,6,4,9,6,PASS,PASS,24087,0,0,-1,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-D,1.4826,6,4,9,6,PASS,PASS,17555,0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-E,4.4478,6,4,27,18,PASS,PASS,45476,0,2,-2,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-D,7.4130,6,4,44,30,PASS,PASS,45501,0,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
X25519,2.9652,6,4,18,12,PASS,PASS,270343,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
