primitive,sigma,c6,c4,max_delta_c6,max_delta_c4,pass_c6,pass_c4,median_base,median_dev_best,median_dev_worst,median_dev_random,median_dev_edge,over_best_c6_pct,over_worst_c6_pct,over_random_c6_pct,over_edge_c6_pct,over_best_c4_pct,over_worst_c4_pct,over_random_c4_pct,over_edge_c4_pct
BYTES,1.4826,6,4,9,6,PASS,PASS,239,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHA256,2.9652,6,4,18,12,PASS,PASS,25204,0,0,0,-1,0.00,0.00,0.00,4.00,0.00,0.00,2.00,16.00
HMAC,1.4826,6,4,9,6,PASS,PASS,12477,0,0,-3,0,0.00,0.00,20.00,0.00,0.00,0.00,32.00,0.00
HKDF,1.4826,6,4,9,6,PASS,PASS,27545,0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PBKDF2,0.0000,6,4,6,4,PASS,PASS,25796,0,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESGCM-E,1.4826,6,4,9,6,PASS,PASS,41148,0,-1,-1,0,2.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00
AESGCM-DV,1.4826,6,4,9,6,PASS,PASS,59071,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-E,1.4826,6,4,9,6,PASS,PASS,24086,0,0,-1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCBC-D,1.4826,6,4,9,6,PASS,PASS,17556,0,-1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-E,1.4826,6,4,9,6,PASS,PASS,45474,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AESCCM-D,8.8956,6,4,53,36,PASS,PASS,45500,0,1,0,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
X25519,1.4826,6,4,9,6,PASS,PASS,270343,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
